"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","entrez"
"ENSG00000243485",0.328371760728669,-0.497409468301283,2.73513049217515,-0.181859501667034,0.855692987426946,NA,NA,NA
"ENSG00000237613",0,NA,NA,NA,NA,NA,"FAM138A","645520"
"ENSG00000186092",0,NA,NA,NA,NA,NA,"OR4F5","79501"
"ENSG00000238009",4.81526402856116,-0.474130391533901,0.796616448402606,-0.595180268352027,0.551722978293359,0.642741651636261,NA,NA
"ENSG00000239945",0,NA,NA,NA,NA,NA,NA,NA
"ENSG00000239906",3.29599023180128,-1.12408042819024,0.902984016653868,-1.24485085833045,0.213186577392525,0.298980519335737,NA,NA
"ENSG00000241599",0,NA,NA,NA,NA,NA,NA,NA
"ENSG00000279928",1.79616917829639,3.2544539757381,1.33390896627681,2.43978716540297,0.0146959173126866,0.0306309670268087,NA,NA
"ENSG00000279457",89.688671814892,0.412378756329714,0.359698840653552,1.1464556170947,0.251606681406777,0.342991981407361,NA,NA
"ENSG00000228463",11.2129832215266,0.876391309137591,0.572476215854409,1.53087811312754,0.125799519440088,0.193510259605253,"RPL23AP21","728481"
"ENSG00000236743",0.280143779821997,-1.54617632622066,4.06959784349086,-0.379933444454149,0.703994820474464,NA,NA,NA
"ENSG00000236601",0,NA,NA,NA,NA,NA,NA,NA
"ENSG00000237094",184.156229396302,0.796387204777247,0.279349254226981,2.85086569134047,0.00436003818923436,0.0104219779153872,NA,NA
"ENSG00000278566",0,NA,NA,NA,NA,NA,NA,NA
"ENSG00000230021",2.98911172559952,3.49016147967208,1.1962056854707,2.91769343856507,0.00352630849746235,0.0086092689513221,NA,NA
"ENSG00000235146",0.0998744586767805,-0.63640061281864,4.43482859863937,-0.14350061082719,0.885894828872007,NA,NA,NA
"ENSG00000273547",0,NA,NA,NA,NA,NA,NA,NA
"ENSG00000229905",0.0707934683773504,-0.0593490798469531,4.43482859863937,-0.0133824968715052,0.989322631066027,NA,NA,NA
"ENSG00000237491",86.5357588804885,0.548476630953412,0.287479723343436,1.90787936127995,0.0564068103674761,0.0979089703035556,"LINC01409","105378580"
"ENSG00000177757",0.247124044424105,1.89651279407846,3.64802580954119,0.519873732559195,0.603151584498426,NA,"FAM87B","400728"
"ENSG00000225880",45.0492247132991,0.194828742278044,0.286562172315703,0.679882975145102,0.496578562333487,0.591689173248509,NA,NA
"ENSG00000230368",0.391781585325597,2.32133979080175,3.22610688290558,0.719548320950558,0.471803140703632,NA,"FAM41C","284593"
"ENSG00000272438",7.69591815461635,3.37570317352632,0.813522459134799,4.14948983352772,3.33217085854967e-05,0.000123089994891197,NA,NA
"ENSG00000230699",51.0168997484704,3.08030703423018,0.771705270044933,3.9915588940462,6.56403821460825e-05,0.000229865460515662,NA,NA
"ENSG00000241180",2.73125094282149,2.76329590074453,1.11473726265586,2.47887640730784,0.0131796965919773,0.027841482639117,NA,NA
"ENSG00000223764",7.82252134269821,1.42654700190702,0.93169109322884,1.53113731823197,0.125735458424632,0.19342510678185,"LINC02593","100130417"
"ENSG00000187634",11.6633728961014,1.63566120220985,0.808306025208813,2.02356675714164,0.043014748342877,0.0775214299265068,"SAMD11","148398"
"ENSG00000188976",1626.87806984461,-0.691494801375787,0.282602849782427,-2.44687837333616,0.0144099457068079,0.0301168271835221,"NOC2L","26155"
"ENSG00000187961",57.1449553197987,-0.289647176324329,0.507027620797452,-0.571265083879992,0.567819966209044,0.65725626902774,"KLHL17","339451"
"ENSG00000187583",2.42915503801519,-5.26790248910453,1.45850758005425,-3.61184443683767,0.000304026933915272,0.000938909192940395,"PLEKHN1","84069"
"ENSG00000187642",0.494137308218047,-0.0593452960812465,2.699812425344,-0.0219812663739722,0.982462899195929,NA,"PERM1","84808"
"ENSG00000272512",20.0956120832244,5.1887661732633,0.978699614962086,5.3016943032764,1.14732846480645e-07,6.11440778738459e-07,NA,NA
"ENSG00000188290",23.15776403544,4.54279443978715,1.14258886563699,3.97587844272801,7.01199377414806e-05,0.000244282078135903,"HES4","57801"
"ENSG00000187608",34.0297077600436,1.19064279966329,0.610864136035241,1.94911229752503,0.0512820153934182,0.0902185107732689,"ISG15","9636"
"ENSG00000224969",0.91782959736542,-0.244586174184827,1.9076897501676,-0.128210666416454,0.897982259157132,0.927245677181031,NA,NA
"ENSG00000188157",865.826851719654,0.38268570416524,0.347547476066697,1.10110339023668,0.270851661693216,0.364578535061503,"AGRN","375790"
"ENSG00000273443",0,NA,NA,NA,NA,NA,NA,NA
"ENSG00000237330",0.0575483386439292,-0.636394307337444,4.43482859863937,-0.143499189017743,0.88589595169142,NA,"RNF223","401934"
"ENSG00000131591",111.900271856115,1.1638181013929,0.296073830585656,3.93083745054666,8.46504909643304e-05,0.0002905309437375,"C1orf159","54991"
"ENSG00000223823",0.0435226884510367,-0.636394307337444,4.43482859863937,-0.143499189017743,0.88589595169142,NA,"LINC01342","254099"
"ENSG00000272141",0.311469407436834,-0.700395158087306,3.0173434426307,-0.232123114721292,0.816442392178826,NA,NA,NA
"ENSG00000205231",0.227796493371182,-1.22002893884194,4.35525435981075,-0.28012805637716,0.779379260185948,NA,"TTLL10-AS1","100506376"
"ENSG00000162571",19.5686034812094,0.788662380780138,0.424608758832016,1.85738603920827,0.0632562512664374,0.108242370978212,"TTLL10","254173"
"ENSG00000186891",0.215799445138852,-2.17144486884821,4.37572544586978,-0.496247969784718,0.619719470422938,NA,"TNFRSF18","8784"
"ENSG00000186827",0.202727466516357,0.0849308745334206,3.90056838241153,0.021773973997326,0.982628255005648,NA,"TNFRSF4","7293"
"ENSG00000078808",399.33156081391,-0.344339946910796,0.408144741182055,-0.843671159191051,0.398853188137349,0.49807340975367,"SDF4","51150"
"ENSG00000176022",550.153805418522,1.4258892645827,0.207704194351345,6.86499985730052,6.64913196018712e-12,5.62909179242813e-11,"B3GALT6","126792"
"ENSG00000184163",1.32787965316132,-0.978082747131729,1.44705849758209,-0.675910993761495,0.499097157293753,0.594077992851584,"C1QTNF12","388581"
"ENSG00000260179",6.86273128527716,0.125233821997841,0.746746933598713,0.16770584030967,0.866814701366491,0.904804154667344,NA,NA
"ENSG00000160087",697.694568922962,-0.0694972598193942,0.177560761252535,-0.391399875339305,0.69550168444959,0.769810820021121,"UBE2J2","118424"
"ENSG00000230415",21.3508686449867,1.71178765497586,0.496867344402729,3.44516031141783,0.000570720800441513,0.00167169215081215,NA,NA
"ENSG00000162572",70.8250741366123,1.59697436717015,0.393702302446641,4.05629928310259,4.98563681587652e-05,0.00017835770598716,"SCNN1D","6339"
"ENSG00000131584",447.790249354738,1.7141360668258,0.388408689688085,4.41322790229629,1.01840691122338e-05,4.1014963370999e-05,"ACAP3","116983"
"ENSG00000169972",36.4079692353871,-1.06375958114227,0.497407398360203,-2.13860828095673,0.0324674062852852,0.0608623508964904,"PUSL1","126789"
"ENSG00000127054",1092.09293280711,-0.116942881646584,0.274249992280594,-0.426409790111993,0.669809268834591,0.747581663312822,"INTS11","54973"
"ENSG00000224051",25.2606235734617,-0.578889168728305,0.419141438698625,-1.38113084338708,0.16723873363956,0.245397581886559,"CPTP","80772"
"ENSG00000169962",2.15438783984549,3.36714137053314,1.41108322461929,2.3862103324498,0.0170230119575462,0.0348312673540696,"TAS1R3","83756"
