sample_id,day,NKCC1_GAPDH,blot_batch,source_row
G-296.4 (VTA 1),1,1.013429625,February,26
G-296.2 (VTA 1),7,0.992851494,February,26
G-622.10 (VTA 1),1,1.028266913,February,27
G-297.2 (VTA 1),7,0.9599587749,February,27
G+ 391.7 (VTA 3),1,0.986653621,February,28
G+ 391.3 (VTA 1),7,1.032927432,February,28
G- 625.5 (VTA 1),1,0.9281411386,February,29
G- 625.1 (VTA 1),7,0.9474893852,February,29
G-620.4,1,0.588334604,March,30
G-620.2,7,0.6199797512,March,30
G-623.5,1,0.543552475,March,31
G-623.3,7,0.5372615968,March,31
G-408.4,1,0.5956371608,March,32
G-408.2,7,0.6153562966,March,32
T-175.5,1,0.6204275398,March,33
T-175.3,7,0.6661922005,March,33
