sample_id,group,BDNF,pCREB
309,Memantine,0.4301753,0.232223754
311,Memantine,0.377741793,0.19446489
320,Memantine,0.446958318,0.232256853
321,Memantine,0.40296215,0.198354361
322,Memantine,0.315109108,0.17955408
3415,Memantine,0.405861767,0.23928259
3499,Memantine,0.349929128,0.233965273
3507,Memantine,0.337220879,0.227705874
3520,Memantine,0.393314501,0.246986817
3521,Memantine,0.441881614,0.277695106
3477,Saline,0.414979938,0.265893892
3478,Saline,0.419017131,0.224173732
3479,Saline,0.360817477,0.196818685
3480,Saline,0.397922752,0.210564752
3484,Saline,0.437048307,0.236021301
3497,Saline,0.497159859,0.263727346
50810A,Saline,0.438504082,0.29483803
50810D,Saline,0.383698761,0.242373689
50810F,Saline,0.335251046,0.234658298
