sample_id,conditioning,phase,day_label,reversal_mV,resting_mV,n_cells
Rat_01,Paired,Baseline,1,-73.85,-60.15,1
Rat_02,Paired,Baseline,1,-84.48681727748692,-56.830339115646254,2
Rat_03,Paired,Baseline,1,-76.0108,-70.7561,1
Rat_04,Paired,Baseline,1,-75.7319,-59.3484,1
Rat_05,Paired,Baseline,1,-78.7496,-45.290000000000006,2
Rat_06,Paired,Baseline,1,-74.72375690607734,-51.49625935162094,1
Rat_07,Paired,Baseline,1,-83.23353293413173,-61.875,1
Rat_08,Paired,Acquisition,7,-57.01,-58.0599,3
Rat_09,Paired,Acquisition,7,-57.137249999999995,-57.4387,2
Rat_10,Paired,Acquisition,7,-54.797399999999996,-64.17830000000001,2
Rat_11,Paired,Acquisition,7,-59.84615384615385,-59.32754880694143,1
Rat_12,Paired,Acquisition,7,-62.5514403292181,-50.47872340425533,1
Rat_13,Paired,Acquisition,7,-59.87205715885656,-55.033939367447545,3
Rat_14,Paired,Plateau,13,-76.9271,-59.265100000000004,2
Rat_15,Paired,Plateau,13,-79.2544,-67.0411,1
Rat_16,Paired,Plateau,13,-76.53646666666667,-64.4267,3
Rat_17,Paired,Plateau,13,-71.85101718752702,-61.697394657581,3
Rat_18,Paired,Plateau,13,-80.12422360248448,-73.8255033557047,1
Rat_19,Unpaired,Baseline,1,-74.04129793510324,-45.4368932038835,1
Rat_20,Unpaired,Baseline,1,-77.74965118596772,-52.022110837139735,2
Rat_21,Unpaired,Baseline,1,-76.90391981911284,-57.307181889149106,2
Rat_22,Unpaired,Acquisition,7,-79.71530249110319,-60.62717770034843,1
Rat_23,Unpaired,Acquisition,7,-79.1630587263286,-53.76188083106357,3
Rat_24,Unpaired,Acquisition,7,-78.65908168308094,-52.966139923986965,3
Rat_25,Unpaired,Plateau,13,-75.39140658088826,-41.757327549302204,2
Rat_26,Unpaired,Plateau,13,-80.14265515325961,-54.60970813294651,2
