sample_id,record_number,source_record,genotype,treatment,learning,BDNF,pCREB
309,1,309_1,Control,Memantine,C/S,0.4301753,0.232223754
309,2,309_2,Control,Memantine,C/S,0.411770344,0.226972108
309,3,309_3,Control,Memantine,C/S,0.418308781,0.230246795
309,4,309_4,Control,Memantine,C/S,0.358626307,0.207004208
309,5,309_5,Control,Memantine,C/S,0.358802202,0.192157916
309,6,309_6,Control,Memantine,C/S,0.36738809,0.195187525
309,7,309_7,Control,Memantine,C/S,0.342708988,0.195788812
309,8,309_8,Control,Memantine,C/S,0.327702703,0.18980344
309,9,309_9,Control,Memantine,C/S,0.317720418,0.180684455
309,10,309_10,Control,Memantine,C/S,0.362462159,0.188092836
309,11,309_11,Control,Memantine,C/S,0.327792418,0.185282789
309,12,309_12,Control,Memantine,C/S,0.355123675,0.190223793
309,13,309_13,Control,Memantine,C/S,0.312539251,0.171027842
309,14,309_14,Control,Memantine,C/S,0.31095107,0.179834781
309,15,309_15,Control,Memantine,C/S,0.344629287,0.176422263
311,1,311_1,Control,Memantine,C/S,0.377741793,0.19446489
311,2,311_2,Control,Memantine,C/S,0.351590595,0.174688797
311,3,311_3,Control,Memantine,C/S,0.350110314,0.171400993
311,4,311_4,Control,Memantine,C/S,0.356396867,0.190973517
311,5,311_5,Control,Memantine,C/S,0.312479741,0.16191248
311,6,311_6,Control,Memantine,C/S,0.319700661,0.174556213
311,7,311_7,Control,Memantine,C/S,0.387750349,0.182114578
311,8,311_8,Control,Memantine,C/S,0.349773756,0.176696833
311,9,311_9,Control,Memantine,C/S,0.308488176,0.168074324
311,10,311_10,Control,Memantine,C/S,0.320852692,0.178190763
311,11,311_11,Control,Memantine,C/S,0.384445147,0.202023396
311,12,311_12,Control,Memantine,C/S,0.304278501,0.178049429
311,13,311_13,Control,Memantine,C/S,0.29130967,0.1624847
311,14,311_14,Control,Memantine,C/S,0.316055626,0.162136536
311,15,311_15,Control,Memantine,C/S,0.287250384,0.169892473
320,1,320_1,Control,Memantine,C/S,0.446958318,0.232256853
320,2,320_2,Control,Memantine,C/S,0.464963919,0.259020129
320,3,320_3,Control,Memantine,C/S,0.470055645,0.258794681
320,4,320_4,Control,Memantine,C/S,0.393464692,0.209154326
320,5,320_5,Control,Memantine,C/S,0.411203215,0.218538056
320,6,320_6,Control,Memantine,C/S,0.421203796,0.221028971
320,7,320_7,Control,Memantine,C/S,0.363541043,0.190832834
320,8,320_8,Control,Memantine,C/S,0.385529158,0.200401111
