sample_id,group,reversal_mV,resting_mV
Rat_01,Baseline,-73.85,-60.15
Rat_02,Baseline,-84.48681727748692,-56.830339115646254
Rat_03,Baseline,-76.0108,-70.7561
Rat_04,Baseline,-75.7319,-59.3484
Rat_05,Baseline,-78.7496,-45.290000000000006
Rat_06,Baseline,-74.72375690607734,-51.49625935162094
Rat_07,Baseline,-83.23353293413173,-61.875
Rat_08,Acquisition,-57.01,-58.0599
Rat_09,Acquisition,-57.137249999999995,-57.4387
Rat_10,Acquisition,-54.797399999999996,-64.17830000000001
Rat_11,Acquisition,-59.84615384615385,-59.32754880694143
Rat_12,Acquisition,-62.5514403292181,-50.47872340425533
Rat_13,Acquisition,-59.87205715885656,-55.033939367447545
