sample_id,record_number,source_record,genotype,treatment,learning,BDNF,pCREB,NR1
309,1,309_1,Control,Memantine,C/S,0.4301753,0.232223754,2.81632854
309,2,309_2,Control,Memantine,C/S,0.411770344,0.226972108,2.789514042
309,3,309_3,Control,Memantine,C/S,0.418308781,0.230246795,2.687201071
309,4,309_4,Control,Memantine,C/S,0.358626307,0.207004208,2.466947197
309,5,309_5,Control,Memantine,C/S,0.358802202,0.192157916,2.36578488
309,6,309_6,Control,Memantine,C/S,0.36738809,0.195187525,2.38593897
309,7,309_7,Control,Memantine,C/S,0.342708988,0.195788812,2.334223759
309,8,309_8,Control,Memantine,C/S,0.327702703,0.18980344,2.260135135
309,9,309_9,Control,Memantine,C/S,0.317720418,0.180684455,2.125725058
309,10,309_10,Control,Memantine,C/S,0.362462159,0.188092836,2.096266398
309,11,309_11,Control,Memantine,C/S,0.327792418,0.185282789,2.072572471
309,12,309_12,Control,Memantine,C/S,0.355123675,0.190223793,2.006870828
309,13,309_13,Control,Memantine,C/S,0.312539251,0.171027842,1.946200544
309,14,309_14,Control,Memantine,C/S,0.31095107,0.179834781,1.958907011
309,15,309_15,Control,Memantine,C/S,0.344629287,0.176422263,1.861162456
311,1,311_1,Control,Memantine,C/S,0.377741793,0.19446489,2.735757397
311,2,311_2,Control,Memantine,C/S,0.351590595,0.174688797,2.546887967
311,3,311_3,Control,Memantine,C/S,0.350110314,0.171400993,2.467733039
311,4,311_4,Control,Memantine,C/S,0.356396867,0.190973517,2.563222678
311,5,311_5,Control,Memantine,C/S,0.312479741,0.16191248,2.164181524
311,6,311_6,Control,Memantine,C/S,0.319700661,0.174556213,2.285938044
311,7,311_7,Control,Memantine,C/S,0.387750349,0.182114578,2.437587331
311,8,311_8,Control,Memantine,C/S,0.349773756,0.176696833,2.308371041
311,9,311_9,Control,Memantine,C/S,0.308488176,0.168074324,2.157728041
311,10,311_10,Control,Memantine,C/S,0.320852692,0.178190763,2.19786827
311,11,311_11,Control,Memantine,C/S,0.384445147,0.202023396,2.482137212
311,12,311_12,Control,Memantine,C/S,0.304278501,0.178049429,2.053414829
311,13,311_13,Control,Memantine,C/S,0.29130967,0.1624847,1.913402693
